time,volume,price
2019-05-06 05:35:00+00:00,2.00000,1.11881
2019-05-06 05:40:00+00:00,2.00000,1.11876
2019-05-06 05:45:00+00:00,3.00000,1.11890
2019-05-06 05:50:00+00:00,8.00000,1.11920
2019-05-06 05:55:00+00:00,6.00000,1.11920
2019-05-06 06:00:00+00:00,7.00000,1.11927
2019-05-06 06:05:00+00:00,2.00000,1.11932
2019-05-06 06:10:00+00:00,6.00000,1.11944
2019-05-06 06:15:00+00:00,7.00000,1.11944
2019-05-06 06:20:00+00:00,6.00000,1.11946
2019-05-06 06:25:00+00:00,16.00000,1.11905
2019-05-06 06:30:00+00:00,8.00000,1.11916
2019-05-06 06:35:00+00:00,4.00000,1.11929
2019-05-06 06:40:00+00:00,10.00000,1.11923
2019-05-06 06:45:00+00:00,7.00000,1.11941
2019-05-06 06:50:00+00:00,18.00000,1.11893
2019-05-06 06:55:00+00:00,15.00000,1.11900
2019-05-06 07:00:00+00:00,14.00000,1.11926
2019-05-06 07:05:00+00:00,10.00000,1.11915
2019-05-06 07:10:00+00:00,8.00000,1.11907
2019-05-06 07:15:00+00:00,85.00000,1.11908
2019-05-06 07:20:00+00:00,36.00000,1.11877
2019-05-06 07:25:00+00:00,23.00000,1.11876
2019-05-06 07:30:00+00:00,31.00000,1.11905
2019-05-06 07:35:00+00:00,15.00000,1.11927
2019-05-06 07:40:00+00:00,12.00000,1.11907
2019-05-06 07:45:00+00:00,22.00000,1.11880
2019-05-06 07:50:00+00:00,29.00000,1.11887
2019-05-06 07:55:00+00:00,7.00000,1.11880
2019-05-06 08:00:00+00:00,15.00000,1.11905
2019-05-06 08:05:00+00:00,8.00000,1.11921
2019-05-06 08:10:00+00:00,13.00000,1.11921
2019-05-06 08:15:00+00:00,9.00000,1.11914
2019-05-06 08:20:00+00:00,9.00000,1.11896
2019-05-06 08:25:00+00:00,6.00000,1.11921
2019-05-06 08:30:00+00:00,13.00000,1.11890
2019-05-06 08:35:00+00:00,11.00000,1.11874
2019-05-06 08:40:00+00:00,13.00000,1.11862
2019-05-06 08:45:00+00:00,5.00000,1.11851
2019-05-06 08:50:00+00:00,5.00000,1.11859
2019-05-06 08:55:00+00:00,6.00000,1.11848
2019-05-06 09:00:00+00:00,17.00000,1.11849
2019-05-06 09:05:00+00:00,7.00000,1.11875
2019-05-06 09:10:00+00:00,11.00000,1.11895
2019-05-06 09:15:00+00:00,15.00000,1.11891
2019-05-06 09:20:00+00:00,11.00000,1.11902
2019-05-06 09:25:00+00:00,6.00000,1.11905
